Aircraft ID,IAS at 850 ft [kt],IAS at 1500 ft [kt],IAS at 3500 ft [kt],SID,Group SID,Aircraft type,Airline
"EWG1BL","-","-","152","OLOXO1Q","SID_24_1","A320","Eurowings"
"VOE23TA","146","151","158","GRAUS5Q","SID_24_1","A319","Volotea"
"TRA3A","167","172","201","OLOXO1Q","SID_24_1","B738","Transavia"
"VLG836M","167","171","207","DIPES1Q","SID_24_3","A320","Vueling"
"AAL743","172","186","206","LOBAR6Q","SID_24_1","B788","American Airlines"
"AFR67FJ","144","145","152","OLOXO1Q","SID_24_1","BCS3","Air France"
"SWR71LU","163","158","199","DALIN4Q","SID_24_3","A321","Swiss International Air Lines"
"AUA39H","151","151","205","AGENA5Q","SID_24_3","A321","Austrian Airlines"
"N501MG","182","193","200","SENIA5Q","SID_24_2","GLEX","Unknown"
"IBE30KE","141","146","212","SENIA5Q","SID_24_2","A20N","Iberia"
"VLG9ZT","154","173","210","LOTOS5Q","SID_24_2","A320","Vueling"
"RYR87QD","166","167","168","AGENA5Q","SID_24_3","B38M","Ryanair"
"BAW473","157","168","218","NATPI2Q","SID_24_1","A21N","British Airways"
"ASL79V","161","171","190","DIPES1Q","SID_24_3","A320","ASL Airlines"
"FIN07RT","175","172","208","AGENA5Q","SID_24_3","A321","Finnair"
"RUK69FL","168","167","168","NATPI2Q","SID_24_1","B738","RusJet"
"VLG6LR","153","165","217","AGENA5Q","SID_24_3","A20N","Vueling"
"WMT79","165","164","187","AGENA5Q","SID_24_3","A21N","Wizz Air Malta"
"EZY16QD","158","151","176","NATPI2Q","SID_24_1","A320","easyJet"
"VLG2KX","155","157","206","OLOXO1Q","SID_24_1","A321","Vueling"
"RYR9ZC","164","165","165","SENIA5Q","SID_24_2","B738","Ryanair"
"RYR17TT","165","164","168","AGENA5Q","SID_24_3","B738","Ryanair"
"IBE30HR","153","153","214","SENIA5Q","SID_24_2","A320","Iberia"
"RYR49YA","166","166","163","DIPES1Q","SID_24_3","B738","Ryanair"
"VLG7SV","164","180","195","OLOXO1Q","SID_24_1","A20N","Vueling"
"EJU43XT","158","163","229","OLOXO1Q","SID_24_1","A320","easyJet Europe"
"VLG6TM","158","167","212","DIPES1Q","SID_24_3","A321","Vueling"
"TRA35B","169","170","216","OLOXO1Q","SID_24_1","B738","Transavia"
"ELY394","172","175","195","DIPES1Q","SID_24_3","B739","El Al Israel Airlines"
"WZZ4","165","180","206","AGENA5Q","SID_24_3","A21N","Wizz Air"
"EZY51EZ","154","160","205","NATPI2Q","SID_24_1","A319","easyJet"
"RYR33SC","168","168","170","LOTOS5Q","SID_24_2","B738","Ryanair"
"VLG15H","159","165","199","NATPI2Q","SID_24_1","A320","Vueling"
"N99ZM","187","192","188","LARPA5Q","SID_24_2","GLEX","Unknown"
"UAE255","183","183","183","LOBAR6Q","SID_24_1","B77L","Emirates"
"N158QS","193","201","209","GRAUS5Q","SID_24_1","GLEX","Unknown"
"ETD35Q","171","191","205","DIPES1Q","SID_24_3","B789","Etihad Airways"
"MAC374R","158","174","204","LOTOS5Q","SID_24_2","A320","Air Macau"
"RYR67DP","169","167","172","AGENA5Q","SID_24_3","B738","Ryanair"
"AHO647A","165","168","205","OLOXO1Q","SID_24_1","E35L","Air Hamburg"
"EZY83DL","164","166","194","NATPI2Q","SID_24_1","A320","easyJet"
"KLM86N","171","173","175","OLOXO1Q","SID_24_1","B738","KLM Royal Dutch Airlines"
"VLG7PC","160","160","202","LOTOS5Q","SID_24_2","A321","Vueling"
"VLG4YH","155","168","212","LARPA5Q","SID_24_2","A320","Vueling"
"CSDPV","169","193","229","LOTOS5Q","SID_24_2","C510","Czech Airlines"
"EIN5LG","165","158","196","NATPI2Q","SID_24_1","A320","Aer Lingus"
"RYR1DH","169","168","167","DIPES1Q","SID_24_3","B738","Ryanair"
"AEE711","167","161","227","DIPES1Q","SID_24_3","A21N","Aegean Airlines"
"WZZ46","170","179","190","AGENA5Q","SID_24_3","A21N","Wizz Air"
"RYR930U","165","166","166","AGENA5Q","SID_24_3","B738","Ryanair"
"VLG1ZY","157","171","203","OLOXO1Q","SID_24_1","A321","Vueling"
"VLG178R","166","185","215","DIPES1Q","SID_24_3","A320","Vueling"
"RYR88AD","168","165","167","NATPI2Q","SID_24_1","B738","Ryanair"
"TAP1035","159","169","205","SENIA5Q","SID_24_2","A320","TAP Air Portugal"
"VLG673Q","156","162","204","AGENA5Q","SID_24_3","A319","Vueling"
"VLG10DH","152","171","204","SENIA5Q","SID_24_2","A320","Vueling"
"VLG6009","164","176","233","NATPI2Q","SID_24_1","A320","Vueling"
"ZSABB","178","195","202","LARPA5Q","SID_24_2","E35L","Unknown"
"VLG9AP","159","171","209","LARPA5Q","SID_24_2","A320","Vueling"
"ITY077","153","168","205","DIPES1Q","SID_24_3","A320","Unknown"
"VLG9CA","165","177","204","DIPES1Q","SID_24_3","A321","Vueling"
"VLG17FD","160","172","204","DALIN4Q","SID_24_3","A20N","Vueling"
"AEA6037","163","192","211","LARPA5Q","SID_24_2","B738","Unknown"
"BAW483B","148","153","208","NATPI2Q","SID_24_1","A320","British Airways"
"DLH13K","161","157","201","AGENA5Q","SID_24_3","A321","Lufthansa"
"VLG3QT","164","169","206","NATPI2Q","SID_24_1","A321","Vueling"
"AEA7706","158","176","204","SENIA5Q","SID_24_2","B789","Unknown"
"GES441S","165","185","203","AGENA5Q","SID_24_3","C68A","Gestair"
"VLG8PX","167","182","203","LOTOS5Q","SID_24_2","A320","Vueling"
"VLG36BR","162","175","204","LOTOS5Q","SID_24_2","A20N","Vueling"
"EJU16XM","157","163","205","AGENA5Q","SID_24_3","A319","easyJet Europe"
"VLG9RM","159","177","211","AGENA5Q","SID_24_3","A320","Vueling"
"RYR308X","165","164","162","LOTOS5Q","SID_24_2","B738","Ryanair"
"UAL121","178","182","176","LOBAR6Q","SID_24_1","B78X","United Airlines"
"THY4AP","146","144","158","DIPES1Q","SID_24_3","A333","Turkish Airlines"
"VLG4HF","152","163","255","DIPES1Q","SID_24_3","A321","Vueling"
"N904TS","199","204","208","LARPA5Q","SID_24_2","GLF4","Unknown"
"VLG7EW","153","167","218","SENIA5Q","SID_24_2","A20N","Vueling"
"VLG8KR","153","167","226","LOTOS5Q","SID_24_2","A20N","Vueling"
"VLG6QC","156","173","207","LOTOS5Q","SID_24_2","A320","Vueling"
"RYR1UC","171","171","169","AGENA5Q","SID_24_3","B738","Ryanair"
"RYR47NG","167","168","167","LARPA5Q","SID_24_2","B738","Ryanair"
"VLG3EN","158","165","200","DIPES1Q","SID_24_3","A320","Vueling"
"VLG13HE","154","168","206","DUNES5Q","SID_24_2","A320","Vueling"
"VLG5AN","152","168","205","NATPI2Q","SID_24_1","A20N","Vueling"
"VLG1512","155","171","205","DALIN4Q","SID_24_3","A320","Vueling"
"NSZ365L","166","196","206","DALIN4Q","SID_24_3","B38M","Network Aviation"
"VLG6NJ","161","177","214","NATPI2Q","SID_24_1","A320","Vueling"
"VLG4WJ","162","171","219","OLOXO1Q","SID_24_1","A320","Vueling"
"VLG202P","149","160","205","AGENA5Q","SID_24_3","A20N","Vueling"
"AAL67","177","190","213","LOBAR6Q","SID_24_1","B772","American Airlines"
"IBE30HP","144","147","206","SENIA5Q","SID_24_2","A320","Iberia"
"VLG64LZ","162","170","205","OLOXO1Q","SID_24_1","A321","Vueling"
"VLG48EZ","154","170","205","AGENA5Q","SID_24_3","A320","Vueling"
"VLG3YG","156","166","203","LOTOS5Q","SID_24_2","A321","Vueling"
"VLG5SH","152","171","226","LARPA5Q","SID_24_2","A20N","Vueling"
"NOZ41B","171","198","207","OLOXO1Q","SID_24_1","B738","Norwegian Air Shuttle"
"DLH27W","180","187","194","DALIN4Q","SID_24_3","A321","Lufthansa"
"VLG63KY","153","174","206","OLOXO1Q","SID_24_1","A20N","Vueling"
"VLG28VR","153","170","205","DALIN4Q","SID_24_3","A20N","Vueling"
"AHO859Y","174","177","206","AGENA5Q","SID_24_3","E35L","Air Hamburg"
"BAW485","147","152","191","NATPI2Q","SID_24_1","A319","British Airways"
"VLG2MJ","158","171","208","GRAUS5Q","SID_24_1","A320","Vueling"
"EJU64CT","156","156","206","DALIN4Q","SID_24_3","A319","easyJet Europe"
"RYR75HD","165","166","168","OLOXO1Q","SID_24_1","B738","Ryanair"
"EJU48RE","157","162","205","DALIN4Q","SID_24_3","A320","easyJet Europe"
"AHY046","152","151","179","DIPES1Q","SID_24_3","A320","Azerbaijan Airlines"
"RYR6UL","168","170","170","AGENA5Q","SID_24_3","B738","Ryanair"
"RYR6376","168","171","173","LOTOS5Q","SID_24_2","B738","Ryanair"
"AFR94BQ","161","153","178","OLOXO1Q","SID_24_1","A320","Air France"
"VLG3VF","150","164","192","DIPES1Q","SID_24_3","A320","Vueling"
"RYR426G","168","169","166","DALIN4Q","SID_24_3","B738","Ryanair"
"RYR1XN","166","168","168","DUNES5Q","SID_24_2","B738","Ryanair"
"T7MPS","173","179","188","LARPA5Q","SID_24_2","PC24","San Marino Private Aircraft"
"AAL113","171","171","172","LOBAR6Q","SID_24_1","B788","American Airlines"
"IBE30SY","154","152","198","SENIA5Q","SID_24_2","A320","Iberia"
"VLG12ET","153","149","215","LARPA5Q","SID_24_2","A20N","Vueling"
